NAME,POS,DATE,STATUS,COMMENT
Chris Westry,CB,Sep 17,Injured Reserve,Westry (knee) has officially been placed on the Ravens' injured reserve.
Marcus Peters,CB,Sep 10,Injured Reserve,Peters will be placed on IR Friday after suffering a torn ACL in practice.
Gus Edwards,RB,Sep 10,Injured Reserve,Edwards (knee) will be placed on IR by the Ravens.
Justice Hill,RB,Sep 9,Injured Reserve,"Hill (Achilles), who had been waived-injured by the Ravens, reverted to IR on Thursday, per the NFL's official transaction log."
J.K. Dobbins,RB,Sep 9,Injured Reserve,"Dobbins underwent successful surgery to repair his torn ACL on Tuesday, Ian Rapoport of NFL Network reports."
Aaron Crawford,DT,Sep 3,Injured Reserve,"Crawford (undisclosed) reverted to the Ravens' injured reserve Wednesday, Luke Jones of WNST reports."
Otaro Alaka,LB,Sep 3,Injured Reserve,"Alaka (undisclosed) reverted to the Ravens' injured reserve Wednesday, Luke Jones of WNST reports."
Ja'Wuan James,OT,Aug 31,Out,James (Achilles) was placed on the reserve/non-football injury list Tuesday.
L.J. Fort,LB,Aug 24,Injured Reserve,The Ravens placed Fort (ACL) on injured reserve Monday.
Khalil Dorsey,CB,Aug 17,Injured Reserve,Dorsey was placed on injured reserve by the Ravens on Monday.
Iman Marshall,CB,Aug 17,Injured Reserve,Marshall (knee) was placed on injured reserve by the Ravens on Monday.
Xavier Kelly,DT,Jun 3,Injured Reserve,"Kelly (Achilles) cleared waivers and reverted to Baltimore's injured reserve Wednesday, Jeff Zrebiec of The Athletic reports."
Dawson Knox,TE,Oct 20,Doubtful,"Knox underwent successful surgery Tuesday to repair his fractured hand is expected to miss a few weeks, Mike Garafolo and Ian Rapoport of NFL Network report."
Marquez Stevenson,WR,Sep 29,Injured Reserve,"Stevenson (head) didn't practice Wednesday, Alaina Getzenberg of ESPN.com reports."
Christian Wade,RB,Sep 1,Out,"Wade (shoulder) is slated to undergo season-ending surgery, Sal Capaccio of WGR Sports Radio 550 Buffalo reports."
Bryan Cox Jr.,DE,Jun 22,Injured Reserve,"Cox has been placed on injured reserve after recently undergoing Achilles surgery, Maddy Glab of the Bills' official site reports."
John Miller,G,Oct 26,Injured Reserve,
Shaq Thompson,LB,Oct 26,Questionable,
Giovanni Ricci,FB,Oct 26,Questionable,
Terrace Marshall Jr.,WR,Oct 26,Questionable,
Cameron Erving,OT,Oct 26,Questionable,
Juston Burris,S,Oct 25,Injured Reserve,"Coach Matt Rhule wasn't sure Monday if Burris (groin) will be healthy enough to play in Week 8 against the Falcons, Joe Person of The Athletic reports."
Stephon Gilmore,CB,Oct 25,Out,"Coach Matt Rhule wasn't sure Monday if Gilmore (quadriceps) will be healthy enough to make his season debut in Week 8 against the Falcons, Joe Person of The Athletic reports."
CJ Henderson,CB,Oct 24,Questionable,"Henderson (shoulder) is questionable to return Sunday against the Giants, Darin Gantt of the Panthers' official site reports."
Myles Hartsfield,CB,Oct 23,Injured Reserve,"Hartsfield (wrist) has been designated to return from injured reserve Friday, Darin Gantt of the Panthers' official website reports."
Brandon Zylstra,WR,Oct 19,Injured Reserve,The Panthers placed Zylstra on injured reserve Tuesday due to a hamstring injury.
Deonte Brown,G,Oct 16,Injured Reserve,"Brown was placed on injured reserve with a knee injury Saturday, Darin Gantt of the Panthers' official site reports."
Christian McCaffrey,RB,Oct 16,Injured Reserve,McCaffrey (hamstring) was placed on injured reserve Saturday.
Jaycee Horn,CB,Oct 15,Injured Reserve,"Horn (foot) is two weeks removed from foot surgery and will have his cast removed Friday, Jeremy Fowler of ESPN.com reports."
Joseph Charlton,P,Oct 14,Injured Reserve,"Charlton (back) was placed on injured reserve Thursday, Darin Gannt of the Panthers' official site reports."
Pat Elflein,G,Oct 13,Injured Reserve,"The Panthers designated Elflein (hamstring) to return from injured reserve Wednesday, Darin Gantt of the Panthers' official site reports."
Thomas Fletcher,LS,Aug 31,Injured Reserve,"Fletcher (hip) has been placed on the Panthers' IR list, Jonathan M. Alexander of The Charlotte Observer reports."
Mike Panasiuk,C,Aug 19,Injured Reserve,"Panasiuk (undisclosed) cleared waivers and reverted to Carolina's injured reserve Wednesday, NFL reporter Aaron Wilson reports."
Matt Kaskey,OT,Aug 19,Injured Reserve,"Kaskey (foot) cleared waivers and reverted to Carolina's injured reserve Wednesday, NFL reporter Aaron Wilson reports."
Troy Pride Jr.,CB,Aug 17,Injured Reserve,"Pride (knee) was placed on the injured reserve list Tuesday, Darin Grantt of the team's official site reports."
Akiem Hicks,DT,Oct 26,Questionable,
Tashaun Gipson Sr.,S,Oct 26,Questionable,
Elijah Wilkinson,OT,Oct 24,Out,"Wilkinson was placed on the reserve/COVID-19 list Sunday, Kevin Fishbain of The Athletic reports."
Caleb Johnson,LB,Oct 24,Out,Johnson (COVID-19) has been placed on the reserve COVID-19 list.
Jimmy Graham,TE,Oct 22,Out,"Graham's placement on the reserve/COVID-19 list earlier Friday was the result of a positive test, Aaron Wilson of Sportstalk 790 Houston reports."
Deon Bush,S,Oct 19,Injured Reserve,"Bush (quadriceps) was placed on injured reserve Sunday, Dan Wiederer of the Chicago Tribune reports."
Robert Quinn,LB,Oct 19,Out,"Quinn (illness) was moved to reserve/Covid-19 list Tuesday following a positive test, Tom Pelissero of NFL Network reports."
Jeremiah Attaochu,LB,Oct 13,Injured Reserve,"The Bears placed Attaochu (pectoral) on injured reserve Wednesday, Colleen Kane of the Chicago Tribune reports."
Germain Ifedi,G,Oct 13,Injured Reserve,"The Bears placed Ifedi (knee) on injured reserve Wednesday, Colleen Kane of the Chicago Tribune reports."
David Montgomery,RB,Oct 9,Injured Reserve,Montgomery (knee) has been placed on IR by the Bears.
Larry Borom,OT,Sep 18,Injured Reserve,Borom (ankle) was placed on injured reserve Saturday.
Teven Jenkins,OT,Sep 3,Injured Reserve,"Jenkins (back) was placed on injured reserve Wednesday, Kevin Fishbain of The Athletic reports."
Tarik Cohen,RB,Aug 31,Out,"Cohen (knee) reverted to the reserve/PUP list Tuesday, Brad Biggs of the Chicago Tribune reports."
Tyler Shelvin,DT,Oct 26,Questionable,
Chris Evans,RB,Oct 25,Questionable,"Bengals head coach Zac Taylor said Evans (hamstring) is viewed as day-to-day heading into Sunday's game against the Jets, Ben Baby of ESPN.com reports."
Trae Waynes,CB,Oct 22,Injured Reserve,"Coach Zac Taylor said Friday that Waynes (hamstring) is expected to have an extended stay on injured reserve, Paul Dehner Jr. of The Athletic reports."
Khalid Kareem,DE,Oct 20,Injured Reserve,"Kareem (shoulder) is ruled out for Sunday's game against Baltimore, Charlie Goldsmith of The Cincinnati Enquirer reports."
Hakeem Adeniji,G,Oct 20,Out,"Adeniji (pectoral) was cleared to return to practice Wednesday, according to Charlie Goldsmith of The Cincinnati Enquirer."
D'Ante Smith,G,Oct 16,Injured Reserve,"Smith (knee) was placed on injured reserve Saturday, Ben Baby of ESPN.com reports."
Jordan Evans,LB,Oct 11,Injured Reserve,Evans (knee) was placed on injured reserve Monday.
Xavier Su'a-Filo,G,Oct 9,Injured Reserve,Su'a-Filo (knee) was placed on injured reserve Saturday.
Wyatt Hubert,DE,Sep 1,Out,The Bengals placed Hubert (pectoral) on the reserve/NFI list Tuesday.
Joseph Ossai,DE,Sep 1,Injured Reserve,The Bengals placed Ossai (knee) on injured reserve Tuesday.
Donovan Peoples-Jones,WR,Oct 26,Questionable,"Peoples-Jones (groin) did not practice Monday, Nate Ulrich of the Akron Beacon Journal reports."
Baker Mayfield,QB,Oct 26,Questionable,
A.J. Green,CB,Oct 26,Questionable,
Nick Chubb,RB,Oct 26,Questionable,
Jack Conklin,OT,Oct 26,Questionable,
Jarvis Landry,WR,Oct 26,Questionable,"Landry did not practice Monday due to a knee injury, Nate Ulrich of the Akron Beacon Journal reports."
Denzel Ward,CB,Oct 26,Questionable,"Ward (hamstring) did not practice Monday, Nate Ulrich of the Akron Beacon Journal reports."
Odell Beckham Jr.,WR,Oct 25,Questionable,"Beckham (shoulder) participated in Monday's practice, Scott Petrak of the Elyria Chronicle-Telegram reports."
Jeremiah Owusu-Koramoah,LB,Oct 19,Injured Reserve,"The Browns placed Owusu-Koramoah (ankle) on injured reserve Tuesday, Nate Ulrich of the Akron Beacon Journal reports."
Kareem Hunt,RB,Oct 19,Injured Reserve,"The Browns placed Hunt (calf) on injured reserve Tuesday, Nate Ulrich of the Akron Beacon Journal reports."
Andy Janovich,FB,Oct 12,Injured Reserve,The Browns placed Janovich (hamstring) on injured reserve Tuesday.
Chris Hubbard,OT,Oct 12,Injured Reserve,Hubbard was placed on IR Tuesday.
M.J. Stewart Jr.,S,Oct 12,Injured Reserve,Stewart was placed on IR with a hamstring injury Tuesday.
Nick Harris,C,Oct 5,Injured Reserve,"Harris (undisclosed) was placed on the injured reserved list Tuesday, Scott Petrak of the Elyria Chronicle-Telegram reports."
Jacob Phillips,LB,Sep 3,Injured Reserve,Phillips (biceps) was placed on injured reserve Wednesday.
Drew Forbes,G,Aug 31,Injured Reserve,"Forbes (knee) has been placed on the Browns IR list, Mary Kay Cabot of The Cleveland Plain Dealer reports."
Montrel Meander,LB,Aug 25,Injured Reserve,"The Browns placed Meander on injured reserve Tuesday after undergoing surgery to repair his Achilles tendon, Anthony Poisal of ClevelandBrowns.com reports."
Stephen Carlson,TE,Aug 17,Injured Reserve,"Carlson will undergo surgery on his knee and miss the entire 2021 season, Mary Kay Cabot of The Cleveland Plain Dealer reports."
Ryan Switzer,WR,Aug 17,Injured Reserve,"Switzer will undergo foot surgery, Scott Petrak of the Elyria Chronicle-Telegram reports."
Tre Harbison,RB,Aug 9,Injured Reserve,"Harbison (concussion) reverted to injured reserve Saturday, per the NFL's official transactions report."
Brent Urban,DE,Oct 26,Out,
Maurice Canady,CB,Oct 26,Out,
Trysten Hill,DT,Oct 25,Out,"Hill (knee) was designated to return from the PUP list Monday, Rob Phillips of the Cowboys' official site reports."
Francis Bernard,LB,Oct 25,Injured Reserve,"Bernard (hamstring) was designated to return from injured reserve Monday, Rob Phillips of the Cowboys' official site reports."
Michael Gallup,WR,Oct 25,Injured Reserve,"The Cowboys designated Gallup (calf) to return from injured reserve Monday, Rob Phillips of the Cowboys' official site reports."
Neville Gallimore,DT,Oct 25,Injured Reserve,"Gallimore (elbow) isn't ""going to start practicing any time soon,"" Cowboys VP Stephen Jones said Monday, Jon Machota of The Athletic reports."
Dak Prescott,QB,Oct 24,Questionable,"Prescott (calf) isn't expected to take part in the Cowboys' light practice session Monday following the team's Week 7 bye, but he should be back on the field Wednesday, Ian Rapoport and Tom Pelissero of NFL Network report."
Dorance Armstrong,DE,Oct 19,Questionable,
Kelvin Joseph,CB,Oct 13,Injured Reserve,"The Cowboys designated Joseph (groin) to return from injured reserve Wednesday, Todd Archer of ESPN.com reports."
Sean McKeon,TE,Oct 13,Injured Reserve,"The Cowboys have designated McKeon (ankle) to return from IR, Todd Archer of ESPN.com reports."
DeMarcus Lawrence,DE,Oct 13,Injured Reserve,"Lawrence (foot) will likely miss at least another month, DallasCowboys.com reports."
Josh Ball,OT,Sep 3,Injured Reserve,"The Cowboys placed Ball (ankle) on injured reserve Thursday, Rob Phillips of the Cowboys' official website reports."
T.J. Vasher,WR,Aug 31,Out,"Vasher (knee) reverted to the reserve/non-football injury list Tuesday, Rob Phillips of the Cowboys' official site reports."
Rico Dowdle,RB,Aug 25,Injured Reserve,"Dowdle was placed on IR due to a hip injury Wednesday, Michael Gehlken of The Dallas Morning News reports."
Hunter Niswander,P,Aug 21,Injured Reserve,"Niswander (undisclosed) reverted to the Cowboys' injured reserve Friday, per the NFL transactions log."
Reggie Robinson II,CB,Aug 18,Injured Reserve,"The Cowboys placed Robinson (toe) on injured reserve Tuesday, Michael Gehlken of The Dallas Morning News reports."
Sewo Olonilua,FB,Aug 18,Injured Reserve,"Olonilua (neck) was placed on injured reserve Tuesday, Michael Gehlken of The Dallas Morning News reports."
Mitch Hyatt,OT,Jul 27,Injured Reserve,"Hyatt (knee) was moved from the preseason PUP list to the IR on Tuesday, NFL reporter Aaron Wilson reports."
Albert Okwuegbunam,TE,Oct 26,Injured Reserve,"Denver designated Okwuegbunam (hamstring) for return from injured reserve Tuesday, Aric DiLalla of the Broncos' official site reports."
Netane Muti,G,Oct 26,Out,reserve-covid-19
Baron Browning,LB,Oct 26,Questionable,"Browning (concussion) was cleared to return to practice Tuesday, Ryan O'Halloran of The Denver Post reports."
Von Miller,LB,Oct 26,Questionable,"Miller (ankle) didn't practice Tuesday and is considered day-to-day, James Palmer of NFL Network reports."
Mike Purcell,DT,Oct 26,Doubtful,"Coach Vic Fangio said Tuesday that Purcell (thumb) probably won't play against Washington on Sunday, Kyle Newman of The Denver Post reports."
Aaron Patrick,LB,Oct 26,Questionable,
Micah Kiser,LB,Oct 23,Injured Reserve,"Kiser (groin) was placed on injured reserve Saturday, Ryan O'Halloran of The Denver Post reports."
Jerry Jeudy,WR,Oct 22,Injured Reserve,"Broncos head coach Vic Fangio said Friday that he expects Jeudy (ankle) to return from injured reserve in advance of the team's Week 8 game against Washington on Oct. 31, Zac Stevens of TheDNVR.com reports."
Alexander Johnson,LB,Oct 19,Injured Reserve,Johnson (pectoral) was moved to injured reserve Tuesday.
Andre Mintze,LB,Oct 19,Injured Reserve,"Mintze (hamstring) was moved to injured reserve Tuesday, Ryan O'Halloran of The Denver Post reports."
Mike Ford,CB,Oct 16,Injured Reserve,"Ford (knee) was placed on short-term injured reserve Saturday, Mike Klis of 9News Denver reports."
Jonas Griffith,LB,Sep 28,Injured Reserve,"Griffith (hamstring) was placed on injured reserve Tuesday, Aric DiLalla of the Broncos' official site reports."
KJ Hamler,WR,Sep 28,Injured Reserve,"Denver placed Hamler (knee) on injured reserve Tuesday, Aric DiLalla of the Broncos' official site reports."
Bradley Chubb,LB,Sep 23,Injured Reserve,"Chubb's ankle surgery went very well and the veteran should be 100 percent when he returns to the field this season, Tom Pelissero of NFL Network reports."
Josey Jewell,LB,Sep 22,Injured Reserve,"Jewell will have surgery on his torn pectoral Thursday, Zac Stevens of TheDNVR.com reports."
Michael Ojemudia,CB,Sep 3,Injured Reserve,The Broncos placed Ojemudia (hamstring) on injured reserve Wednesday.
Essang Bassey,CB,Sep 1,Out,"The Broncos placed Bassey (knee) on the reserve/PUP list Tuesday, Aric DiLalla of the Denver Broncos official website reports."
Duke Dawson Jr.,CB,Sep 1,Out,"The Broncos placed Dawson (knee) on the reserve/PUP list Tuesday, Aric DiLalla of the Denver Broncos official website reports."
Adrian Killins,RB,Aug 24,Injured Reserve,"Killins (ankle) cleared waivers and reverted to Denver's reserve/injured list Tuesday, Zac Stevens of TheDNVR.com reports."
Brett Jones,C,Aug 24,Injured Reserve,"The Broncos placed Jones (bicep) on injured reserve Monday, Ryan O'Halloran of The Denver Post reports."
LeVante Bellamy,RB,Aug 18,Injured Reserve,"Bellamy (ankle) cleared waivers and reverted to the Broncos' injured reserve Wednesday, NFL reporter Aaron Wilson reports."
Marquiss Spencer,DE,Aug 9,Questionable,"Spencer (ankle) was a non-participant in Sunday's practice, Mike Klis of 9News Denver reports."
Cody Conway,OT,Aug 5,Injured Reserve,"Conway (knee) reverted to IR on Thursday, NFL reporter Aaron Wilson reports."
Natrez Patrick,LB,Jun 23,Injured Reserve,"Patrick (leg) cleared waivers and reverted to Denver's injured reserve Monday, NFL reporter Aaron Wilson reports."
DaeSean Hamilton,WR,May 19,Out,"Hamilton (knee) has reverted to Denver's reserve/non-football injury list after going unclaimed on waivers Wednesday, Field Yates of ESPN reports."
Jason Cabinda,FB,Oct 26,Questionable,
Logan Stenberg,G,Oct 25,Injured Reserve,The Lions placed Stenberg (undisclosed) on injured reserve Monday.
AJ Parker,CB,Oct 25,Doubtful,"The Lions fear Parker (shoulder) suffered a serious injury in Sunday's loss to the Rams, Kyle Meinke of MLive.com reports."
Trey Flowers,LB,Oct 24,Questionable,"Flowers (knee) is questionable to return to Sunday's contest against the Rams, Kyle Meinke of MLive.com reports."
Da'Shawn Hand,DE,Oct 20,Injured Reserve,"Hand (groin) was designated to return from injured reserve Wednesday, Aaron Wilson of Sportstalk 790 Houston reports."
Taylor Decker,OT,Oct 20,Injured Reserve,"Decker (finger) could be shut down for the rest of season, according to Chris Burke of The Athletic."
Corey Ballentine,CB,Oct 15,Injured Reserve,The Lions moved Ballentine (hamstring) to injured reserve Friday.
Kevin Strong,DE,Oct 13,Injured Reserve,"Strong (concussion) returned to practice from injured reserve Wednesday, Dave Birkett of the Detroit Free Press reports."
Quintez Cephus,WR,Oct 12,Injured Reserve,The Lions placed Cephus (collarbone) on injured reserve Tuesday.
Frank Ragnow,C,Oct 12,Injured Reserve,"Ragnow is scheduled to undergo season-ending toe surgery in the coming days, Ian Rapoport of NFL Network reports."
Tyrell Williams,WR,Oct 12,Injured Reserve,"Lions head coach Dan Campbell suggested Tuesday that Williams (concussion) isn't on track to be activated from injured reserve ahead of the team's Week 6 game against the Bengals, Justin Rogers of The Detroit News reports. ""It's off in the distance,"" Campbell said of Williams' potential return."
Romeo Okwara,LB,Oct 6,Injured Reserve,Okwara (Achilles) announced via his official Instagram account Wednesday that he is scheduled for surgery this week.
Ifeatu Melifonwu,CB,Sep 22,Injured Reserve,The Lions placed Melifonwu (thigh) on injured reserve Wednesday.
Jeff Okudah,CB,Sep 13,Injured Reserve,"Okudah will miss the remainder of the season after an MRI revealed that he suffered a ruptured Achilles in Sunday's loss to the 49ers, Tom Pelissero of NFL Network reports."
Tyrell Crosby,OT,Sep 3,Injured Reserve,"Crosby (undisclosed) reverted to the Lions' injured reserve Wednesday after clearing waivers, Dave Birkett of the Detroit Free Press reports."
Tim Boyle,QB,Sep 2,Injured Reserve,"The Lions placed Boyle (thumb) on injured reserve Thursday, Ian Rapoport of NFL Network reports."
Charlie Taumoepeau,TE,Aug 18,Out,"Taumoepeau (neck) cleared waivers and reverted to Detroit's reserve/non-football injury list Tuesday, per the NFL's official transaction log."
Shaun Dion Hamilton,LB,Aug 18,Injured Reserve,Hamilton (undisclosed) was placed on the Lions' reserve/injured list Tuesday.
Joel Heath,DE,May 28,Injured Reserve,"The Lions placed Heath (knee) on injured reserve Thursday, NFL reporter Aaron Wilson reports."
Hunter Bryant,TE,Apr 29,Out,"Bryant (undisclosed) has reverted to the Lions' reserve/Non-Football Injury list, NFL reporter Aaron Wilson reports."
Allen Lazard,WR,Oct 26,Out,"Lazard, who was placed on the reserve/COVID-19 list Tuesday as a close contact of teammate Davante Adams (illness), isn't eligible to play Thursday against the Cardinals, Ian Rapoport of NFL Network reports."
Preston Smith,LB,Oct 26,Questionable,
Dennis Kelly,OT,Oct 26,Questionable,
Kevin King,CB,Oct 26,Questionable,
Davante Adams,WR,Oct 25,Out,"Adams said earlier this season that he is vaccinated, which means his placement on the reserve/COVID-19 list is due to a positive test result. The wideout will need to test negative twice 24 hours apart before being activated, which is unlikely to happen before Thursday's game at Arizona, Tom Silverstein of the Milwaukee Journal Sentinel reports."
Kenny Clark,DT,Oct 25,Questionable,
Dean Lowry,DE,Oct 25,Questionable,
Marquez Valdes-Scantling,WR,Oct 25,Injured Reserve,"Valdes-Scantling (hamstring) has a chance to return for Thursday's game against the Cardinals, Ryan Wood of the Green Bay Press-Gazette reports."
Josh Myers,C,Oct 23,Injured Reserve,The Packers placed Myers (knee) on injured reserve Saturday.
David Bakhtiari,OT,Oct 20,Out,"Bakhtiari (knee) returned to practice Wednesday, even though he's still on the Packers' reserve/PUP list, Rob Demovsky reports."
Dominique Dafney,TE,Oct 13,Injured Reserve,"The Packers have designated Dafney (hip) for return from IR, Matt Schneidman of The Athletic reports."
Jaire Alexander,CB,Oct 10,Injured Reserve,"Alexander, who was placed on injured reserve Saturday, could require season-ending surgery to address the sprained AC joint in his right shoulder, Adam Schefter of ESPN reports."
Chauncey Rivers,LB,Oct 7,Injured Reserve,"Rivers (knee) was put on injured reserve Thursday, Matt Schneidman of The Athletic reports."
Za'Darius Smith,LB,Oct 1,Injured Reserve,"Smith (back) will be out for an extended period after having surgery earlier this week, but the Packers are hoping he'll return at some point this season, Mike Garafolo of NFL Network reports."
Will Redmond,S,Aug 25,Injured Reserve,"The Packers placed Redmond (toe) on injured reserve Tuesday, ending his season, Matt Schneidman of The Athletic reports."
Randy Ramsey,LB,Aug 13,Injured Reserve,Ramsey was put on the injured reserve by the Packers on Thursday.
Jaleel Johnson,DT,Oct 26,Questionable,
Tyrod Taylor,QB,Oct 25,Injured Reserve,"Taylor (hamstring) will return to practice Wednesday, Adam Schefter of ESPN reports."
Christian Kirksey,LB,Oct 24,Questionable,"Coach David Culley said Kirksey fractured his thumb during Sunday's contest against the Cardinals, Aaron Wilson of Sportstalk 790 Houston reports."
Terrence Brooks,S,Oct 21,Injured Reserve,Brooks (chest) was placed on injured reserve Thursday.
Marcus Cannon,OT,Oct 17,Injured Reserve,"Cannon underwent back surgery and will be sidelined for approximately 12 weeks, Ian Rapoport of NFL Network reports."
Laremy Tunsil,OT,Oct 16,Injured Reserve,"Tunsil (thumb) was placed on injured reserve Saturday, Aaron Wilson of Sportstalk 790 Houston reports."
Vincent Taylor,DT,Sep 15,Injured Reserve,"Taylor (ankle) has hit the Texans' IR list and is expected to be sidelined for 6-to-8 weeks as he undergoes surgery, Aaron Wilson of Sportstalk 790 Houston reports."
Tae Davis,LB,Sep 3,Injured Reserve,"Davis (undisclosed) reverted to Houston's injured reserve Wednesday, per the NFL's official transactions report."
Rock Ya-Sin,CB,Oct 26,Questionable,
Braden Smith,OT,Oct 26,Questionable,
Kemoko Turay,DE,Oct 26,Questionable,
Jordan Wilkins,RB,Oct 26,Questionable,
T.Y. Hilton,WR,Oct 26,Questionable,
BoPete Keyes,CB,Oct 24,Questionable,"Keyes (undisclosed) left Sunday's contest against the 49ers in the second half and won't return, Joel A. Erickson of The Indianapolis Star reports."
Julian Blackmon,S,Oct 23,Injured Reserve,"Blackmon (Achilles) was placed on injured reserve Saturday, according to the Colts' official Twitter account."
Parris Campbell,WR,Oct 22,Injured Reserve,"Campbell (foot) has a recovery timetable of 2-3 months after undergoing foot surgery and has not been ruled out for the remainder of the season, Mike Chappell of FOX59/CBS4 Sports reports."
Dayo Odeyingbo,DE,Oct 20,Out,"Odeyingbo (Achilles) resumed practicing Wednesday, Kevin Bowen of 107.5 the Fan reports."
Dezmon Patmon,WR,Oct 20,Injured Reserve,"The Colts are designating Patmon (foot) for return from IR, George Bremer of The Anderson Herald Bulletin reports."
Marvell Tell III,CB,Oct 20,Out,
Rodrigo Blankenship,PK,Oct 16,Injured Reserve,Blankenship (hip) was placed on injured reserve Saturday.
Jordan Glasgow,LB,Oct 13,Injured Reserve,Glasgow (concussion) is expected to return to practice this week.
T.J. Carrie,CB,Sep 29,Injured Reserve,The Colts placed Carrie (undisclosed) on injured reserve Wednesday.
Sam Tevi,OT,Aug 30,Injured Reserve,"The Colts placed Tevi on Injured Reserve Monday, Mike Chappell of Fox 59 News Indianapolis reports."
Skai Moore,LB,Aug 25,Injured Reserve,"Moore (undisclosed) reverted to the Colts' injured reserve after clearing waivers Tuesday, per the NFL's transaction log."
Nick Nelson,S,Aug 19,Injured Reserve,"Nelson (undisclosed) cleared waivers and reverted to Indianapolis' injured reserve, per the NFL's official transaction log."
Quartney Davis,WR,Aug 18,Injured Reserve,"Davis (shoulder) cleared waivers and reverted to Indianapolis' injured reserve Wednesday, per the NFL's official transaction log."
J.J. Nelson,WR,Aug 6,Injured Reserve,The Colts placed Nelson (groin) on injured reserve Friday.
