PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
E.Sanders,BUF,47.88,56.44,40.32,49.43,49.8,58.26,,43.38,52.68,14.97,32.98,24.87,42.61,8.29,,17.59,,,31.7,7.7,,,36.181250000000006
J.Smith-Schuster,PIT,55.36,29.32,12.58,53.86,9.99,,,,,,,,,,,,,,34.49,,,,32.6
M.Goodwin,CHI,26.6,31.56,16.83,19.75,28.3,8.65,26.49,25.04,36.84,,55.64,8.82,,,,13.29,12.48,15.48,,,,,23.26928571428572
C.Edmonds,ARI,15.54,26.45,36.9,35.86,19.82,19.2,12.19,21.08,,,,,,,3.72,36.93,21.92,,8.55,,,,21.513333333333332
T.Conklin,MIN,19.93,21.16,44.91,25.72,21.58,25.37,,45.82,45.17,36.2,17.2,18.84,41.7,11.09,35.36,25.73,46.57,31.84,,,,,30.24647058823529
D.Knox,BUF,16.02,19.02,24.49,49.31,49.9,10.51,,,,5.74,55.46,21.29,44.85,34.62,35.75,11.71,18.06,23.01,52.22,17.91,,,28.81588235294118
C.Hogan,NO,12.29,22.28,11.94,15.52,8.01,,,,,,,,,,,,,,,,,,14.008000000000001
K.Raymond,DET,20.98,11.19,112.26,43.87,31.5,37.13,69.27,7.14,,74.19,15.77,27.02,13.29,31.99,29.74,32.03,,43.84,,,,,37.575624999999995
M.Sanders,PHI,16.89,13.74,11.09,10.44,11.34,24.78,3.64,,,,16.88,5.18,18.89,,10.64,20.24,,,10.83,,,,13.42923076923077
J.Guyton,LAC,20.47,9.66,19.76,13.63,15.1,36.87,,18.33,13.75,6.43,9.56,15.61,29.7,37.13,10.25,,12.74,26.79,,,,,18.486250000000002
L.Fournette,TB,22.6,15.95,9.8,16.37,23.93,21.68,17.34,19.94,,50.66,17.73,34.24,24.4,22.83,21.52,,,,,24.13,,,22.874666666666663
M.Gaskin,MIA,29.17,14.79,17.41,,39.86,21.06,12.4,18.34,21.95,7.65,18.03,10.28,6.32,,,19.44,9.09,23.56,,,,,17.956666666666663
D.Mooney,CHI,44.06,86.57,49.33,97.37,52.9,66.56,45.26,89.81,45.76,,113.1,56.52,36.37,48.08,47.23,65.43,95.39,76.13,,,,,65.63941176470587
M.Gallup,DAL,26.39,,,,,,,,,47.36,57.71,48.94,58.47,56.55,46.79,32.68,23.43,,,,,,44.25777777777778
C.Claypool,PIT,45.21,68.75,62.86,,63.2,42.56,,39.78,44.92,,58.24,64.71,28.63,51.08,20.9,41.48,50.13,35.74,43.55,,,,47.60875
K.Hamler,DEN,37.14,22.95,41.35,,,,,,,,,,,,,,,,,,,,33.81333333333333
K.Pitts,ATL,58.94,34.18,27.63,47.83,55.42,,59.86,65.45,55.3,60.29,45.31,58.78,44.81,54.92,59.05,73.57,46.49,32.36,,,,,51.775882352941174
T.Pollard,DAL,8.82,12.07,5.12,,18.5,12.97,,3.82,8.48,35.27,6.29,12.5,14.59,,9.39,11.94,26.5,,6.76,,,,12.867999999999999
D.Williams,CHI,18.75,19.96,,14.32,22.15,,5.56,,,,,,,4.68,,16.82,5.85,20.92,,,,,14.334444444444443
H.Hurst,ATL,21.95,5.38,6.54,17.24,30.62,,21.1,21.0,17.13,,,,,6.59,10.0,20.84,,11.93,,,,,15.860000000000001
W.Dissly,SEA,28.17,,8.04,9.72,25.0,11.8,,,,7.58,20.56,11.88,8.66,20.77,5.73,,8.11,,,,,,13.834999999999999
H.Ruggs,LV,27.26,46.63,49.01,61.19,22.73,46.87,24.53,,,,,,,,,,,,,,,,39.74571428571429
J.Mixon,CIN,23.38,10.35,7.91,6.39,4.18,27.93,,23.38,16.21,,,18.85,4.87,8.34,6.82,27.06,29.18,,21.16,33.38,12.79,21.96,16.896666666666665
T.Boyd,CIN,30.71,59.16,78.87,75.7,22.97,21.42,36.98,58.96,13.39,,61.52,17.11,40.78,31.69,77.6,27.38,32.74,,30.98,19.13,29.31,37.22,40.181
A.Ingold,LV,13.09,7.98,3.75,,,6.0,11.66,,11.1,4.96,,,,,,,,,,,,,8.362857142857143
H.Henry,NE,19.3,41.74,22.06,28.18,67.83,22.99,23.67,17.76,48.57,37.46,32.43,37.55,,,39.01,45.53,35.19,51.03,33.84,,,,35.53764705882353
K.Hill,LAC,13.18,,,,,,,,,,,,,,,,,,,,,,13.18
M.Pittman,IND,28.62,86.49,94.02,57.86,45.4,39.01,55.56,67.33,38.15,44.52,59.12,60.71,79.54,,108.13,87.38,45.52,56.37,,,,,61.98411764705881
T.Williams,BAL,20.68,11.96,8.02,,7.79,,8.16,,,,,3.92,,,,,,,,,,,10.088333333333333
J.Jones,TEN,41.87,51.62,45.72,,,60.79,36.14,,33.17,,,,,47.75,5.97,6.14,,75.36,,58.5,,,42.093636363636364
C.Edwards-Helaire,KC,16.27,,6.44,15.32,3.72,,,,,,7.45,,12.93,14.0,14.56,3.99,,,,8.43,7.84,,10.086363636363636
J.Robinson,JAX,20.84,12.02,29.6,10.44,3.02,16.42,,4.73,,19.79,19.53,15.88,29.81,,29.73,,,,,,,,17.650833333333335
A.Hooper,CLE,20.77,44.8,20.82,26.71,5.0,17.42,15.02,37.74,18.76,30.88,49.26,22.62,,35.58,,29.06,31.07,,,,,,27.034
T.Kroft,NYJ,23.37,12.58,11.94,7.22,,,,13.66,14.95,,,,,,13.0,51.27,,29.28,,,,,19.69666666666667
K.Hunt,CLE,16.15,8.21,34.82,20.07,29.2,15.1,,,,,,3.35,,13.13,,,,,,,,,17.50375
C.Carson,SEA,20.43,,9.22,4.02,,,,,,,,,,,,,,,,,,,11.223333333333334
T.Marshall,CAR,40.6,12.23,31.25,16.34,18.83,10.35,,,4.29,35.09,7.88,,,,6.01,4.08,24.94,,,,,,17.6575
C.Uzomah,CIN,16.31,10.04,9.66,38.85,9.27,18.93,21.38,19.94,21.9,,19.07,20.68,30.54,31.53,34.27,26.21,29.81,,38.95,48.77,12.78,8.1,23.3495
M.Evans,TB,28.49,70.76,52.32,61.54,54.3,33.08,62.53,38.11,,28.26,53.57,35.27,58.15,35.9,5.58,,40.35,41.43,73.82,73.85,,,47.07277777777778
C.Wilson,DAL,12.44,10.09,43.12,18.29,13.22,30.47,,15.4,25.33,,41.08,50.39,,10.4,,16.25,33.04,59.37,65.6,,,,29.63266666666667
Z.Ertz,PHI,29.65,13.94,41.46,39.74,49.15,43.87,,,,,,,,,,,,,,,,,36.30166666666667
J.McNichols,TEN,19.22,13.09,14.01,30.3,14.28,,4.53,15.32,10.09,23.57,,,,6.01,13.1,4.13,,,,,,,13.970833333333331
M.Davis,ATL,26.14,17.73,11.93,5.93,14.79,,,27.2,10.54,6.1,18.61,22.05,14.16,38.9,5.27,5.13,15.4,12.8,,,,,15.792500000000004
Q.Watkins,PHI,9.49,24.72,19.24,33.8,24.25,61.43,38.39,24.84,40.36,62.09,9.02,42.4,41.88,,15.41,30.7,31.27,52.42,53.22,,,,34.16277777777778
R.Griffin,NYJ,29.0,10.48,5.58,23.9,10.4,,17.74,5.4,25.67,10.0,18.71,43.4,11.17,13.13,19.31,,,,,,,,17.420714285714286
J.Doyle,IND,23.26,48.42,12.76,10.64,5.69,9.53,11.48,7.09,15.69,35.72,63.68,37.84,9.56,,12.5,,,10.0,,,,,20.924
M.Andrews,BAL,37.58,41.83,55.64,46.19,74.54,61.88,35.47,,60.43,42.94,64.03,87.41,71.48,55.01,89.66,68.54,46.33,117.16,,,,,62.124705882352934
D.Mims,NYJ,9.88,,,,24.11,,15.6,12.5,24.27,,,,4.93,6.57,40.01,30.54,,31.47,,,,,19.987999999999996
B.Jarwin,DAL,10.74,39.59,13.47,29.0,,8.73,,6.77,,,,,,,,,,15.2,6.22,,,,16.215000000000003
T.Benson,DET,26.54,26.27,4.28,16.46,12.1,,,,,28.35,,,,,,,24.1,,,,,,19.728571428571428
M.Hardman,KC,13.07,75.68,14.36,18.51,52.87,27.76,17.82,33.65,34.94,15.89,15.68,,3.68,37.33,23.76,36.88,12.66,52.77,17.24,4.21,27.32,,26.803999999999995
D.Byrd,CHI,16.63,,,,,6.0,5.56,,,,15.55,32.94,47.14,17.03,37.73,21.61,13.01,27.67,,,,,21.89727272727273
A.Firkser,TEN,21.0,,,21.41,43.51,6.74,8.27,12.81,5.05,8.15,28.3,8.23,,36.16,14.21,5.86,35.97,27.74,,7.06,,,18.154374999999998
D.Henry,TEN,18.2,25.14,15.25,6.89,,13.6,8.06,,,,,,,,,,,,,,,,14.523333333333333
A.Gibson,WAS,39.1,6.82,11.22,7.16,7.66,8.99,4.94,11.58,,12.93,,25.02,31.39,8.02,30.1,22.82,,45.48,,,,,18.215333333333334
A.Trautman,NO,59.86,,8.86,6.14,16.03,,16.18,34.23,40.8,27.67,42.58,,,,20.13,,,11.88,,,,,25.850909090909088
K.Smith,ATL,17.4,4.25,,,,,3.64,,,,5.59,11.95,4.31,,,,,5.49,,,,,7.518571428571429
C.Conley,HOU,14.09,14.06,11.89,15.1,44.57,9.36,,21.99,15.18,,60.0,,46.0,4.93,22.32,31.74,11.22,,,,,,23.032142857142862
M.Valdes-Scantling,GB,69.35,52.6,35.37,,,,,,13.99,28.48,88.96,61.53,,31.56,71.56,,19.39,6.44,,,,,43.56636363636363
M.Gordon,DEN,12.39,10.62,8.79,15.64,10.36,9.38,15.68,19.19,15.68,16.56,,12.45,,,5.32,5.4,25.35,9.1,,,,,12.793999999999999
M.Strachan,IND,18.51,11.12,,,,,,,,,,,,,,,,,,,,,14.815000000000001
A.Green,ARI,42.29,39.91,54.8,49.61,15.22,59.47,33.78,60.48,,39.67,58.69,,26.9,47.8,43.5,23.33,45.55,57.68,28.91,,,,42.79941176470588
S.Ahmed,MIA,25.31,13.09,,11.22,12.66,8.64,4.32,8.38,,4.97,,4.24,,,,,,,,,,,10.314444444444444
A.St. Brown,DET,20.58,34.85,3.2,47.46,47.5,48.13,,36.8,,64.6,32.03,25.3,66.82,61.37,92.02,73.62,73.1,77.26,,,,,50.29
R.Cobb,GB,10.68,23.45,5.44,41.14,19.47,,24.5,28.13,39.33,19.56,12.86,22.47,,,,,,,,6.87,,,21.158333333333335
D.Jackson,LA,16.45,,46.26,23.64,26.41,6.48,10.7,,,,,,,,,,,,,,,,21.656666666666666
N.Chubb,CLE,10.09,4.47,,5.56,4.46,,,6.05,22.37,,9.87,20.84,,18.31,5.18,16.22,5.25,2.95,,,,,10.124615384615383
D.Singletary,BUF,16.4,18.21,6.65,4.84,11.09,15.58,,2.86,29.34,4.77,16.64,6.17,,17.79,5.29,21.2,6.61,5.49,22.17,16.69,,,12.654999999999998
D.Harris,NE,13.39,6.43,5.55,9.4,,5.19,7.3,4.29,6.26,,7.07,4.09,,,,2.86,3.7,20.28,6.05,,,,7.275714285714286
A.Lazard,GB,28.12,,9.4,18.73,9.42,61.86,42.95,,7.76,39.78,,32.43,,49.96,29.39,45.4,36.9,41.85,,7.53,,,30.76533333333333
A.Abdullah,MIN,6.85,6.06,,3.21,,,,,,,,,,,,,,,,,,,5.373333333333334
P.Ricard,BAL,18.6,,,4.98,,,,,19.38,,3.81,8.37,3.94,,,,,,,,,,9.846666666666666
M.Taylor,GB,19.98,,,,,,,,,,,,,,,,,,,,,,19.98
C.Hyde,JAX,5.66,10.21,,,,,,22.54,20.35,8.97,6.65,3.57,2.37,8.58,,,,,,,,,9.877777777777778
T.Williams,DET,10.36,,,,,,,,,,,,,,,,,,,,,,10.36
P.Campbell,IND,31.98,,23.23,27.72,47.41,22.34,,,,,,,,,,,,38.41,,,,,31.848333333333333
P.Freiermuth,PIT,10.04,18.97,23.41,6.27,14.54,36.16,,34.77,46.66,39.83,27.1,21.48,30.12,17.43,36.46,,22.28,44.53,20.11,,,,26.479999999999997
C.Patterson,ATL,10.97,15.09,26.33,31.47,39.17,,20.01,33.19,46.03,16.11,,21.64,22.68,32.31,10.0,13.64,11.78,3.98,,,,,22.15
A.Jones,GB,8.88,32.52,9.08,21.06,22.93,25.2,17.95,67.24,9.89,27.22,,3.5,,17.36,11.88,25.68,19.8,,,62.5,,,23.918125
G.Bernard,TB,13.51,8.77,25.78,,7.14,5.66,13.24,4.07,,18.16,3.2,,6.96,,,,,,33.23,2.67,,,11.86583333333333
A.Humphries,WAS,20.88,30.77,40.28,7.02,25.41,12.02,29.13,25.18,,6.16,21.12,12.73,38.17,40.48,38.28,38.18,12.34,23.47,,,,,24.801176470588235
J.Washington,PIT,7.59,4.47,29.87,30.9,,5.12,,4.05,42.85,32.58,13.46,9.1,10.49,44.64,72.71,13.82,12.16,,23.8,,,,22.350625
